trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,16.8266014,17.855596,17.8573576,down,1,0.810566,-4,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
1,0,1,0,18.6860245,19.6861196,19.6861196,down,0,1.2003878,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
2,0,2,0,20.9024619,21.9027659,21.9027659,down,1,0.5117868,4,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
3,0,3,0,22.4358975,23.4357558,23.4357558,up,1,0.4556607,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
4,0,4,0,23.9192647,24.9190974,24.9190974,up,1,0.4103054,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
5,0,5,0,25.3522906,26.3521724,26.3521724,up,0,0.557834,1,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
6,0,6,0,26.9356601,27.9357891,27.9357891,up,1,0.6383016,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
7,0,7,0,28.6020702,29.6020228,29.6020228,down,1,0.6774348,2,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
8,0,8,0,30.3020718,31.3020737,31.3020737,down,1,0.6102509,2,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
9,0,9,0,31.9353427,32.935188,32.935188,down,0,0.9602775,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
10,0,10,0,33.9185986,34.9185208,34.9185208,down,0,0.6969924,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
11,0,11,0,35.6349751,36.635187,36.635187,up,0,0.6295391,-3,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
12,0,12,0,37.2849898,38.2848339,38.2848339,down,1,0.8180375,-3,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
13,0,13,0,39.1349637,40.1350248,40.1350248,up,1,0.6225747,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
14,0,14,0,40.7847694,41.7846333,41.7846333,down,1,0.5267955,-5,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
15,0,15,0,42.3346191,43.3346601,43.3346601,down,0,1.0588487,0,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
16,0,16,0,44.4180654,45.4178776,45.4178776,down,1,0.5171672,-4,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
17,0,17,0,45.951122,46.9510604,46.9510604,down,1,0.613281,-4,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
18,0,18,0,47.5844298,48.5844912,48.5844912,up,0,0.7166761,-2,941953,1,2022-09-09_14h48.43.276,orientation discrimination task_signal detection,2022.2.3,60.01316689
